Model,MAE,Accuracy,Recall,Precision,Training Time (s)
Centralized,0.1692026581000739,0.81066,0.8531593954980634,0.6462692307692308,985.1924192905426
Federated,0.43183560488381173,0.87873,0.7818748374977302,0.6761705882352941,1024.2292397022247
